Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
SSD,MZ-V7S250B/AM,Samsung,970 Evo Plus NVMe PCIe M.2 250GB,30,240,2515,https://ssd.userbenchmark.com/SpeedTest/711305/Samsung-SSD-970-EVO-Plus-250GB
SSD,MZVLB1T0HALR,Samsung,PM981 NVMe PCIe M.2 1TB,31,237,3301,https://ssd.userbenchmark.com/SpeedTest/413203/PM981-NVMe-Samsung-1024GB
SSD,AGAMMIXS11-240GT-C,XPG,Gammix S11 NVMe PCIe M.2 240GB,32,235,684,https://ssd.userbenchmark.com/SpeedTest/497242/XPG-GAMMIX-S11
SSD,SDSSDXPM2-500G-G25,SanDisk,Extreme Pro NVMe PCIe M.2 500GB (2018),33,235,338,https://ssd.userbenchmark.com/SpeedTest/513270/SanDisk-Extreme-Pro-500GB
SSD,ASX8200NP-240GT-C,Adata,XPG SX8200 NVMe PCIe M.2 240GB,34,235,3231,https://ssd.userbenchmark.com/SpeedTest/480586/ADATA-SX8200NP
SSD,CT1000P1SSD8,Crucial,P1 3D NVMe PCIe M.2 1TB,35,234,2573,https://ssd.userbenchmark.com/SpeedTest/607339/CT1000P1SSD8
SSD,MZ-V7E250BW,Samsung,970 Evo NVMe PCIe M.2 250GB,36,234,61669,https://ssd.userbenchmark.com/SpeedTest/494033/Samsung-SSD-970-EVO-250GB
SSD,WDS500G2X0C,WD,Black NVMe PCIe M.2 500GB (2018),37,233,7129,https://ssd.userbenchmark.com/SpeedTest/485459/WDS500G2X0C-00L350
SSD,SSDPEKKW512G8XT,Intel,760p Series NVMe PCIe M.2 512GB,38,228,1873,https://ssd.userbenchmark.com/SpeedTest/433786/INTEL-SSDPEKKW512G8
SSD,CSSD-F1920GBMP510,Corsair,Force NVMe PCIe M.2 2TB,39,225,38,https://ssd.userbenchmark.com/SpeedTest/633975/Force-MP510
SSD,SSDPEKNW010T8X1,Intel,660p NVMe PCIe M.2 1TB,40,223,3437,https://ssd.userbenchmark.com/SpeedTest/602553/INTEL-SSDPEKNW010T8
SSD,ASX8200PNP-256GT-C,Adata,XPG SX8200 Pro NVMe PCIe M.2 256GB,41,223,1605,https://ssd.userbenchmark.com/SpeedTest/636955/ADATA-SX8200PNP
SSD,MZ-V5P512BW,Samsung,950 NVMe PCIe M.2 512GB,42,222,30596,https://ssd.userbenchmark.com/SpeedTest/38554/NVMe-Samsung-SSD-950
SSD,2YY45AA#ABC,HP,EX920 NVMe PCIe M.2 256GB,43,222,171,https://ssd.userbenchmark.com/SpeedTest/537061/HP-SSD-EX920-256GB
SSD,,Samsung,PM961 NVMe PCIe M.2 1TB,44,221,2952,https://ssd.userbenchmark.com/SpeedTest/165378/NVMe-SAMSUNG-MZVLW1T0
SSD,MKNSSDPL250GB-D8,Mushkin,Pilot NVMe PCIe M.2 250GB,45,220,235,https://ssd.userbenchmark.com/SpeedTest/515464/MKNSSDPL250GB-D8
SSD,MZ-V6E500BW,Samsung,960 Evo NVMe PCIe M.2 500GB,46,218,72747,https://ssd.userbenchmark.com/SpeedTest/204072/Samsung-SSD-960-EVO-500GB
SSD,MZVLB512HAJQ,Samsung,PM981 NVMe PCIe M.2 512GB,47,211,9687,https://ssd.userbenchmark.com/SpeedTest/401452/SAMSUNG-MZVLB512HAJQ-000L2
SSD,CSSD-F480GBMP510,Corsair,Force NVMe PCIe M.2 480GB,48,210,551,https://ssd.userbenchmark.com/SpeedTest/626885/Force-MP510
SSD,,Intel,Optane+ NVMe PCIe 500GB,49,199,528,https://ssd.userbenchmark.com/SpeedTest/268688/Intel-Optane-466GBSSD
SSD,MZ-V5P256BW,Samsung,950 NVMe PCIe M.2 256GB,50,199,24187,https://ssd.userbenchmark.com/SpeedTest/38570/NVMe-Samsung-SSD-950
SSD,SSDPE2MD400G401,Intel,DC P3700 Series NVMe PCIe 400GB,51,198,46,https://ssd.userbenchmark.com/SpeedTest/16595/NVMe-INTEL-SSDPEDMD40
SSD,,Samsung,PM961 NVMe PCIe M.2 512GB,52,198,18392,https://ssd.userbenchmark.com/SpeedTest/181300/NVMe-SAMSUNG-MZVLW512
SSD,MZ-V6E250BW,Samsung,960 Evo NVMe PCIe M.2 250GB,53,197,123850,https://ssd.userbenchmark.com/SpeedTest/200373/Samsung-SSD-960-EVO-250GB
SSD,CT500P1SSD8,Crucial,P1 3D NVMe PCIe M.2 500GB,54,197,3203,https://ssd.userbenchmark.com/SpeedTest/614152/CT500P1SSD8
SSD,ZTSSD-PG3-480G-GE,Zotac,Sonix NVMe PCIe 480GB,55,196,168,https://ssd.userbenchmark.com/SpeedTest/131041/NVMe-ZTSSDPG3-480G-GE
SSD,WDS500G1B0C,WD,Blue SN500 NVMe PCIe M.2 500GB,56,194,116,https://ssd.userbenchmark.com/SpeedTest/759521/WDC-WDS500G1B0C-00S6U0
SSD,WDS250G2X0C,WD,Black NVMe PCIe M.2 250GB (2018),57,194,3515,https://ssd.userbenchmark.com/SpeedTest/482421/WDS250G2X0C-00L350
SSD,MZVPV512HDGL-00000,Samsung,SM951 NVMe PCIe M.2 512GB,58,193,6256,https://ssd.userbenchmark.com/SpeedTest/30300/NVMe-SAMSUNG-MZVKV512
SSD,PX-1TM8PeG,Plextor,M8Pe NVMe PCIe M.2 1TB,59,193,199,https://ssd.userbenchmark.com/SpeedTest/175630/PLEXTOR-PX-1TM8PeG
SSD,CSSD-N400GBNX500,Corsair,Neutron NX500 NVMe PCIe 400GB,60,192,196,https://ssd.userbenchmark.com/SpeedTest/331636/Neutron-NX500
SSD,SSDPEDMW400G4X1,Intel,750 Series NVMe PCIe 400GB,61,192,4240,https://ssd.userbenchmark.com/SpeedTest/26870/NVMe-INTEL-SSDPEDMW40
SSD,SSDPEDMW400G4R5,Intel,750 Series NVMe PCIe 400GB,61,192,4240,https://ssd.userbenchmark.com/SpeedTest/26870/NVMe-INTEL-SSDPEDMW40
SSD,SSDPEKKW256G8XT,Intel,760p Series NVMe PCIe M.2 256GB,62,191,6159,https://ssd.userbenchmark.com/SpeedTest/434656/INTEL-SSDPEKKW256G8
SSD,CSSD-N800GBNX500,Corsair,Neutron NX500 NVMe PCIe 800GB,63,191,37,https://ssd.userbenchmark.com/SpeedTest/369784/Neutron-NX500
SSD,SKC1000/960G,Kingston,KC1000 NVMe PCIe M.2 960GB,64,188,117,https://ssd.userbenchmark.com/SpeedTest/320126/KINGSTON-SKC1000960G
SSD,PX-512M8PeG,Plextor,M8Pe NVMe PCIe M.2 512GB,65,187,1241,https://ssd.userbenchmark.com/SpeedTest/169863/PLEXTOR-PX-512M8PeG
SSD,MZVPV256HDGL-00000,Samsung,SM951 NVMe PCIe M.2 256GB,66,185,5258,https://ssd.userbenchmark.com/SpeedTest/30950/NVMe-SAMSUNG-MZVPV256
SSD,2YY44AA#ABC,HP,EX900 NVMe PCIe M.2 500GB,67,184,634,https://ssd.userbenchmark.com/SpeedTest/532017/HP-SSD-EX900-500GB
SSD,5XM46AA#ABC,HP,EX900 NVMe PCIe M.2 1TB,68,183,29,https://ssd.userbenchmark.com/SpeedTest/695989/HP-SSD-EX900-1TB
SSD,PH480GPM280SSDR,Patriot,Hellfire NVMe PCIe M.2 480GB,69,183,411,https://ssd.userbenchmark.com/SpeedTest/184918/Patriot-Hellfire-M2
SSD,MZHPV512HDGL-00000,Samsung,SM951 AHCI PCIe M.2 512GB,70,181,2989,https://ssd.userbenchmark.com/SpeedTest/24647/SAMSUNG-MZHPV512HDGL-00000
SSD,,Intel,Optane+ NVMe PCIe 128GB,71,180,96,https://ssd.userbenchmark.com/SpeedTest/278104/Intel-Optane-119GBSSD
SSD,MZHPV256HDGL-00000,Samsung,SM951 AHCI PCIe M.2 256GB,72,178,4393,https://ssd.userbenchmark.com/SpeedTest/24782/SAMSUNG-MZHPV256HDGL-00000
SSD,SKC1000/480G,Kingston,KC1000 NVMe PCIe M.2 480GB,73,175,533,https://ssd.userbenchmark.com/SpeedTest/316248/KINGSTON-SKC1000480G
SSD,RVD400-M22280-256G,Toshiba,OCZ RD400 NVMe PCIe M.2 256GB,74,174,1765,https://ssd.userbenchmark.com/SpeedTest/142093/NVMe-TOSHIBA-RD400
SSD,WDS250G1B0C,WD,Blue SN500 NVMe PCIe M.2 250GB,75,174,17,https://ssd.userbenchmark.com/SpeedTest/756076/WDC-WDS250G1B0C-00S6U0
SSD,PX-256M8PeG,Plextor,M8Pe NVMe PCIe M.2 256GB,76,173,1022,https://ssd.userbenchmark.com/SpeedTest/171701/PLEXTOR-PX-256M8PeG
SSD,MZVLW256HEHP,Samsung,PM961 NVMe PCIe M.2 256GB,77,173,35636,https://ssd.userbenchmark.com/SpeedTest/174249/SAMSUNG-MZVLW256HEHP-00000
SSD,SSDPEKNW512G8X1,Intel,660p NVMe PCIe M.2 512GB,78,173,4264,https://ssd.userbenchmark.com/SpeedTest/557263/INTEL-SSDPEKNW512G8
SSD,MDNVME80-BPX-0512,MyDigitalSSD,BPX NVMe PCIe M.2 480GB,79,173,935,https://ssd.userbenchmark.com/SpeedTest/206552/BPX
SSD,CSSD-F240GBMP510,Corsair,Force NVMe PCIe M.2 240GB,80,172,594,https://ssd.userbenchmark.com/SpeedTest/612603/Force-MP510
SSD,MZVPV128HDGM-00000,Samsung,SM951 NVMe PCIe M.2 128GB,81,168,1277,https://ssd.userbenchmark.com/SpeedTest/34737/NVMe-SAMSUNG-MZVPV128
SSD,MZVLW128,Samsung,PM961 NVMe PCIe M.2 128GB,82,167,4634,https://ssd.userbenchmark.com/SpeedTest/194898/NVMe-SAMSUNG-MZVLW128
SSD,KXG50ZNV1T02,Toshiba,XG5 NVMe PCIe M.2 1TB,83,167,2992,https://ssd.userbenchmark.com/SpeedTest/359586/KXG50ZNV1T02-NVMe-TOSHIBA-1024GB
SSD,RVD350-FHPX28-960G,OCZ,RevoDrive 350 PCIe 960GB,84,164,110,https://ssd.userbenchmark.com/SpeedTest/15245/OCZ-REVODRIVE350
SSD,CSSD-F480GBMP500,Corsair,Force MP500 NVMe PCIe M.2 480GB,85,164,1369,https://ssd.userbenchmark.com/SpeedTest/223982/Force-MP500
SSD,MDNVME80-BPX-0256,MyDigitalSSD,BPX NVMe PCIe M.2 240GB,86,161,682,https://ssd.userbenchmark.com/SpeedTest/211350/BPX
SSD,,Toshiba,THNSN5512GPU7 NVMe PCIe M.2 512GB,87,161,6304,https://ssd.userbenchmark.com/SpeedTest/120558/NVMe-THNSN5512GPU7-NV
SSD,MKNSSDPL120GB-D8,Mushkin,Pilot NVMe PCIe M.2 120GB,88,161,33,https://ssd.userbenchmark.com/SpeedTest/533910/MKNSSDPL120GB-D8
SSD,MZHPV128HDGM-00000,Samsung,SM951 AHCI PCIe M.2 128GB,89,159,1263,https://ssd.userbenchmark.com/SpeedTest/26719/SAMSUNG-MZHPV128HDGM-00000
SSD,MDNVME80-BPX-0128,MyDigitalSSD,BPX NVMe PCIe M.2 120GB,90,158,590,https://ssd.userbenchmark.com/SpeedTest/217777/BPX
SSD,,Apple,SM0512G PCIe 500GB,91,156,831,https://ssd.userbenchmark.com/SpeedTest/25611/APPLE-SSD-SM0512G
SSD,CSSD-F240GBMP500,Corsair,Force MP500 NVMe PCIe M.2 240GB,92,156,5695,https://ssd.userbenchmark.com/SpeedTest/213562/Force-MP500
SSD,ASX8000NP-512GM-C,Adata,XPG SX8000 NVMe PCIe M.2 512GB,93,155,607,https://ssd.userbenchmark.com/SpeedTest/218488/NVMe-ADATA-SX8000NP
SSD,SKC1000/240G,Kingston,KC1000 NVMe PCIe M.2 240GB,94,152,753,https://ssd.userbenchmark.com/SpeedTest/312458/KINGSTON-SKC1000240G
SSD,,Toshiba,THNSN5128GPU7 NVMe PCIe M.2 128GB,95,151,528,https://ssd.userbenchmark.com/SpeedTest/38688/NVMe-THNSN5128GPU7-TO
SSD,RVD350-FHPX28-480G,OCZ,RevoDrive 350 PCIe 480GB,96,151,375,https://ssd.userbenchmark.com/SpeedTest/13514/OCZ-REVODRIVE350
SSD,,Toshiba,THNSN5256GPU7 NVMe PCIe M.2 256GB,97,150,6937,https://ssd.userbenchmark.com/SpeedTest/36660/NVMe-THNSN5256GPU7-TO
SSD,,Samsung,PM951 NVMe PCIe M.2 512GB 1TB,98,150,1119,https://ssd.userbenchmark.com/SpeedTest/39907/NVMe-PM951-NVMe-SAMSU
SSD,,Apple,SM0256G PCIe 251GB,99,149,708,https://ssd.userbenchmark.com/SpeedTest/25442/APPLE-SSD-SM0256G
