Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
HDD,none,Samsung,MMCRE28G8MXP-0VBL1 128GB,309,50.2,29,https://hdd.userbenchmark.com/SpeedTest/5433/SAMSUNG-MMCRE28G8MXP-0VBL1
HDD,none,Maxtor,S TM3320613AS 320GB,311,49.8,116,https://hdd.userbenchmark.com/SpeedTest/10528/MAXTOR-S-TM3320613AS
HDD,none,Hitachi,HCS5C1010CLA382 1TB,313,49.7,1094,https://hdd.userbenchmark.com/SpeedTest/3428/Hitachi-HCS5C1010CLA382
HDD,none,,VB0250EAVER 250GB,314,49.6,780,https://hdd.userbenchmark.com/SpeedTest/1098/VB0250EAVER
HDD,none,Hitachi,HDS5C3015ALA632 1.5TB,316,49.5,222,https://hdd.userbenchmark.com/SpeedTest/5797/Hitachi-HDS5C3015ALA632
HDD,none,Hitachi,HDS721025CLA382 250GB,319,49.4,2994,https://hdd.userbenchmark.com/SpeedTest/6106/Hitachi-HDS721025CLA382
HDD,none,Seagate,ST9750422AS 750GB,320,49.3,439,https://hdd.userbenchmark.com/SpeedTest/6425/ST9750422AS
HDD,none,WD,WD10JUCT-63J6SY0 1TB,322,49.3,765,https://hdd.userbenchmark.com/SpeedTest/9459/WDC-WD10JUCT-63J6SY0
HDD,none,Samsung,HD153WI 1.5TB,323,49.3,525,https://hdd.userbenchmark.com/SpeedTest/1489/SAMSUNG-HD153WI
HDD,none,WD,WD2002FYPS-01U1B0 2TB,324,49.3,2230,https://hdd.userbenchmark.com/SpeedTest/3788/WDC-WD2002FYPS-01U1B0
HDD,none,Hitachi,HTS72757 750GB,327,49.2,141,https://hdd.userbenchmark.com/SpeedTest/4050/Hitachi-HTS72757
HDD,none,Seagate,ST31000520AS 1TB,332,48.9,4502,https://hdd.userbenchmark.com/SpeedTest/1280/ST31000520AS
HDD,none,Seagate,FA GoFlex Desk 2TB,333,48.9,50,https://hdd.userbenchmark.com/SpeedTest/9703/Seagate-FA-GoFlex-Desk
