Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,none,Intel,Core i5-2450M,588,36.1,21184,https://cpu.userbenchmark.com/Intel-Core-i5-2450M/Rating/2815
CPU,none,Intel,Xeon E5-2660 v2,590,35.8,24,https://cpu.userbenchmark.com/SpeedTest/13068/IntelR-XeonR-CPU-E5-2660-v2---220GHz
CPU,none,AMD,Athlon II X3 460,591,35.7,625,https://cpu.userbenchmark.com/SpeedTest/6695/AMD-Athlontm-II-X3-460-Processor
CPU,none,Intel,Pentium G870,592,35.6,533,https://cpu.userbenchmark.com/SpeedTest/9348/IntelR-PentiumR-CPU-G870---310GHz
CPU,none,Intel,Core i5-2435M,593,35.6,326,https://cpu.userbenchmark.com/SpeedTest/968/IntelR-CoreTM-i5-2435M-CPU---240GHz
CPU,none,AMD,A12-9720P APU (2016 M.BR),594,35.5,5119,https://cpu.userbenchmark.com/SpeedTest/308530/AMD-A12-9720P-RADEON-R7-12-COMPUTE-CORES-4C-8G
CPU,none,Intel,Core i5-4210U,595,35.4,39017,https://cpu.userbenchmark.com/SpeedTest/12662/IntelR-CoreTM-i5-4210U-CPU---170GHz
CPU,none,Intel,Core i3-4000M,596,35.3,3467,https://cpu.userbenchmark.com/SpeedTest/6476/IntelR-CoreTM-i3-4000M-CPU---240GHz
CPU,none,Intel,Core m5-6Y57,597,35.2,614,https://cpu.userbenchmark.com/SpeedTest/42768/IntelR-CoreTM-m5-6Y57-CPU---110GHz
CPU,none,Intel,Pentium G2020,598,35.1,5691,https://cpu.userbenchmark.com/SpeedTest/3604/IntelR-PentiumR-CPU-G2020---290GHz
CPU,none,Intel,Xeon E5430,599,35.1,1351,https://cpu.userbenchmark.com/SpeedTest/16038/IntelR-XeonR-CPU-----------E5430----266GHz
CPU,none,Intel,Core2 Quad Q9450,600,34.9,3372,https://cpu.userbenchmark.com/SpeedTest/765/IntelR-CoreTM2-Quad--CPU---Q9450----266GHz
CPU,none,AMD,Athlon II X4 631,601,34.9,653,https://cpu.userbenchmark.com/SpeedTest/2944/AMD-Athlontm-II-X4-631-Quad-Core-Processor
CPU,none,Intel,Pentium G860,602,34.9,2100,https://cpu.userbenchmark.com/SpeedTest/2650/IntelR-PentiumR-CPU-G860---300GHz
CPU,none,AMD,Phenom II X4 910e,603,34.9,141,https://cpu.userbenchmark.com/SpeedTest/10427/AMD-Phenomtm-II-X4-910e-Processor
CPU,none,Intel,Core m5-6Y54,604,34.9,774,https://cpu.userbenchmark.com/SpeedTest/40602/IntelR-CoreTM-m5-6Y54-CPU---110GHz
CPU,none,AMD,A6-3650 APU,605,34.9,1377,https://cpu.userbenchmark.com/SpeedTest/1954/AMD-A6-3650-APU-with-Radeontm-HD-Graphics
CPU,none,Intel,Core i3-2120T,606,34.8,490,https://cpu.userbenchmark.com/SpeedTest/2686/IntelR-CoreTM-i3-2120T-CPU---260GHz
CPU,none,Intel,Core i5-2430M,607,34.7,19975,https://cpu.userbenchmark.com/SpeedTest/429/IntelR-CoreTM-i5-2430M-CPU---240GHz
CPU,none,AMD,Athlon II X3 455,608,34.7,1737,https://cpu.userbenchmark.com/SpeedTest/1884/AMD-Athlontm-II-X3-455-Processor
CPU,none,Intel,Core m7-6Y75,610,34.6,810,https://cpu.userbenchmark.com/SpeedTest/55308/IntelR-CoreTM-m7-6Y75-CPU---120GHz
CPU,none,Intel,Core i5-4250U,611,34.6,884,https://cpu.userbenchmark.com/SpeedTest/1787/IntelR-CoreTM-i5-4250U-CPU---130GHz
CPU,none,Intel,Core i5-3437U,613,34.4,1600,https://cpu.userbenchmark.com/SpeedTest/4219/IntelR-CoreTM-i5-3437U-CPU---190GHz
CPU,none,Intel,Core2 Quad Q9400,614,34.3,11742,https://cpu.userbenchmark.com/SpeedTest/244/IntelR-CoreTM2-Quad-CPU----Q9400----266GHz
CPU,none,Intel,Xeon E5462,615,34.3,325,https://cpu.userbenchmark.com/SpeedTest/16556/IntelR-XeonR-CPU-----------E5462----280GHz
CPU,none,Intel,Core i5 M 580,616,34.3,684,https://cpu.userbenchmark.com/SpeedTest/6113/IntelR-CoreTM-i5-CPU-------M-580----267GHz
CPU,none,Intel,Xeon E5504,617,34.2,232,https://cpu.userbenchmark.com/SpeedTest/6261/IntelR-XeonR-CPU-----------E5504----200GHz
CPU,none,Intel,Core i5-2410M,618,34.1,22060,https://cpu.userbenchmark.com/Intel-Core-i5-2410M/Rating/2769
CPU,none,AMD,A10-6700T APU (2013 D.Ri),619,34,41,https://cpu.userbenchmark.com/SpeedTest/5691/AMD-A10-6700T-APU-with-Radeontm-HD-Graphics
CPU,none,AMD,Phenom II X4 810,620,34,1264,https://cpu.userbenchmark.com/SpeedTest/4242/AMD-Phenomtm-II-X4-810-Processor
CPU,none,Intel,Core i7 M 620,621,34,4552,https://cpu.userbenchmark.com/SpeedTest/870/IntelR-CoreTM-i7-CPU-------M-620----267GHz
CPU,none,Intel,Core i5-4200U,622,34,27879,https://cpu.userbenchmark.com/Intel-Core-i5-4200U/Rating/2742
CPU,none,AMD,Athlon II X4 620,623,34,2976,https://cpu.userbenchmark.com/SpeedTest/3430/AMD-Athlontm-II-X4-620-Processor
CPU,none,Intel,Core2 Quad Q8400,624,33.9,8590,https://cpu.userbenchmark.com/SpeedTest/1663/IntelR-CoreTM2-Quad-CPU----Q8400----266GHz
CPU,none,Intel,Pentium G850,625,33.8,1238,https://cpu.userbenchmark.com/SpeedTest/2522/IntelR-PentiumR-CPU-G850---290GHz
CPU,none,Intel,Core i5-3427U,626,33.8,1917,https://cpu.userbenchmark.com/SpeedTest/909/IntelR-CoreTM-i5-3427U-CPU---180GHz
CPU,none,Intel,Core i3-3120M,627,33.7,6660,https://cpu.userbenchmark.com/SpeedTest/923/IntelR-CoreTM-i3-3120M-CPU---250GHz
CPU,none,AMD,Phenom II X4 905e,628,33.7,216,https://cpu.userbenchmark.com/SpeedTest/3420/AMD-Phenomtm-II-X4-905e-Processor
CPU,none,Intel,Pentium G2010,629,33.7,1352,https://cpu.userbenchmark.com/SpeedTest/8691/IntelR-PentiumR-CPU-G2010---280GHz
CPU,none,Intel,Core i7 Q 840,630,33.7,633,https://cpu.userbenchmark.com/SpeedTest/2642/IntelR-CoreTM-i7-CPU-------Q-840----187GHz
CPU,none,AMD,A10-9620P APU (2016 M.BR),631,33.6,2038,https://cpu.userbenchmark.com/SpeedTest/300068/AMD-A10-9620P-RADEON-R5-10-COMPUTE-CORES-4C-6G
CPU,none,AMD,Athlon II X3 450,632,33.6,2427,https://cpu.userbenchmark.com/SpeedTest/91/AMD-Athlontm-II-X3-450-Processor
CPU,none,Intel,Core i5-2415M,633,33.6,364,https://cpu.userbenchmark.com/SpeedTest/4223/IntelR-CoreTM-i5-2415M-CPU---230GHz
CPU,none,AMD,Phenom 9950,635,33.3,1224,https://cpu.userbenchmark.com/SpeedTest/2758/AMD-Phenomtm-9950-Quad-Core-Processor
CPU,none,Intel,Pentium G645,636,33.3,2288,https://cpu.userbenchmark.com/SpeedTest/3264/IntelR-PentiumR-CPU-G645---290GHz
CPU,none,Intel,Core i3-3110M,637,33.2,15067,https://cpu.userbenchmark.com/SpeedTest/844/IntelR-CoreTM-i3-3110M-CPU---240GHz
CPU,none,Intel,Core i5 M 560,639,33.2,6512,https://cpu.userbenchmark.com/SpeedTest/623/IntelR-CoreTM-i5-CPU-------M-560----267GHz
CPU,none,Intel,Xeon L5420,640,33.2,620,https://cpu.userbenchmark.com/SpeedTest/10433/IntelR-XeonR-CPU-----------L5420----250GHz
CPU,none,Intel,Core i5 M 480,641,33.1,7507,https://cpu.userbenchmark.com/SpeedTest/3496/IntelR-CoreTM-i5-CPU-------M-480----267GHz
CPU,none,Intel,Core i5-3337U,642,33,15538,https://cpu.userbenchmark.com/SpeedTest/737/IntelR-CoreTM-i5-3337U-CPU---180GHz
CPU,none,Intel,Core2 Extreme Q6850,643,33,638,https://cpu.userbenchmark.com/SpeedTest/7118/IntelR-CoreTM2-Extreme-CPU-Q6850----300GHz
CPU,none,AMD,FX-7600P APU (2014 M.Ka),644,33,566,https://cpu.userbenchmark.com/SpeedTest/23736/AMD-FX-7600P-Radeon-R7-12-Compute-Cores-4C-8G
CPU,none,Intel,Pentium J4205,645,32.9,341,https://cpu.userbenchmark.com/SpeedTest/221469/IntelR-PentiumR-CPU-J4205---150GHz
CPU,none,Intel,Core i7-3517U,646,32.9,4942,https://cpu.userbenchmark.com/SpeedTest/663/IntelR-CoreTM-i7-3517U-CPU---190GHz
CPU,none,AMD,A8-3800 APU,647,32.8,692,https://cpu.userbenchmark.com/SpeedTest/7059/AMD-A8-3800-APU-with-Radeontm-HD-Graphics
CPU,none,Intel,Pentium G840,648,32.7,1296,https://cpu.userbenchmark.com/SpeedTest/3067/IntelR-PentiumR-CPU-G840---280GHz
CPU,none,AMD,Athlon II X3 445,649,32.7,1614,https://cpu.userbenchmark.com/SpeedTest/1775/AMD-Athlontm-II-X3-445-Processor
CPU,none,Intel,Xeon E5-2603 0,650,32.7,105,https://cpu.userbenchmark.com/SpeedTest/4629/IntelR-XeonR-CPU-E5-2603-0---180GHz
CPU,none,Intel,Pentium G640,651,32.6,1163,https://cpu.userbenchmark.com/SpeedTest/618/IntelR-PentiumR-CPU-G640---280GHz
CPU,none,Intel,Celeron G1620,652,32.6,1313,https://cpu.userbenchmark.com/SpeedTest/6930/IntelR-CeleronR-CPU-G1620---270GHz
CPU,none,Intel,Core i3-5010U,653,32.4,4738,https://cpu.userbenchmark.com/SpeedTest/23565/IntelR-CoreTM-i3-5010U-CPU---210GHz
CPU,none,Intel,Xeon E5420,654,32.3,773,https://cpu.userbenchmark.com/SpeedTest/11278/IntelR-XeonR-CPU-----------E5420----250GHz
CPU,none,Intel,Core2 Extreme Q9300,655,32.2,373,https://cpu.userbenchmark.com/SpeedTest/4063/IntelR-CoreTM2-Extreme-CPU-Q9300----253GHz
CPU,none,Intel,Pentium N4200,656,32.1,3935,https://cpu.userbenchmark.com/SpeedTest/196248/IntelR-PentiumR-CPU-N4200---110GHz
CPU,none,Intel,Core i5 M 460,657,32.1,8155,https://cpu.userbenchmark.com/SpeedTest/126/IntelR-CoreTM-i5-CPU-------M-460----253GHz
CPU,none,Intel,Core2 Quad Q9300,658,32,5823,https://cpu.userbenchmark.com/SpeedTest/832/IntelR-CoreTM2-Quad--CPU---Q9300----250GHz
CPU,none,AMD,Phenom 9850,659,31.9,1267,https://cpu.userbenchmark.com/SpeedTest/2967/AMD-Phenomtm-9850-Quad-Core-Processor
CPU,none,Intel,Core i5 M 540,660,31.9,4430,https://cpu.userbenchmark.com/SpeedTest/882/IntelR-CoreTM-i5-CPU-------M-540----253GHz
CPU,none,Intel,Celeron J3455,662,31.6,990,https://cpu.userbenchmark.com/SpeedTest/200485/IntelR-CeleronR-CPU-J3455---150GHz
CPU,none,Intel,Core2 Quad Q8300,663,31.6,9679,https://cpu.userbenchmark.com/SpeedTest/1930/IntelR-CoreTM2-Quad-CPU----Q8300----250GHz
CPU,none,AMD,Athlon II X3 440,664,31.6,1274,https://cpu.userbenchmark.com/SpeedTest/5315/AMD-Athlontm-II-X3-440-Processor
CPU,none,Intel,Core i3-6006U,665,31.5,14975,https://cpu.userbenchmark.com/SpeedTest/214467/IntelR-CoreTM-i3-6006U-CPU---200GHz
